id,name,created_at
administracao,Administração,2023-07-28 10:16:13.908560
administracao-publica,Administração Pública,2023-07-28 10:16:13.908560
administracao-publica-ead,Administração Pública (EaD),2023-07-28 10:16:13.908560
arquitetura-e-urbanismo,Arquitetura e Urbanismo,2023-07-28 10:16:13.908560
artes-cenicas-bacharelado,Artes Cênicas (Bacharelado),2023-07-28 10:16:13.908560
artes-cenicas-licenciatura,Artes Cênicas (Licenciatura),2023-07-28 10:16:13.908560
ciencia-da-computacao,Ciência da Computação,2023-07-28 10:16:13.908560
ciencia-e-tecnologia-de-alimentos,Ciência e Tecnologia de Alimentos,2023-07-28 10:16:13.908560
ciencias-biologicas-bacharelado,Ciências Biológicas (Bacharelado),2023-07-28 10:16:13.908560
ciencias-biologicas-licenciatura,Ciências Biológicas (Licenciatura),2023-07-28 10:16:13.908560
ciencias-economicas,Ciências Econômicas,2023-07-28 10:16:13.908560
direito,Direito,2023-07-28 10:16:13.908560
educacao-fisica-bacharelado,Educação Física (Bacharelado),2023-07-28 10:16:13.908560
educacao-fisica-licenciatura,Educação Física (Licenciatura),2023-07-28 10:16:13.908560
engenharia-ambiental,Engenharia Ambiental,2023-07-28 10:16:13.908560
engenharia-civil,Engenharia Civil,2023-07-28 10:16:13.908560
engenharia-de-computacao,Engenharia de Computação,2023-07-28 10:16:13.908560
engenharia-de-controle-e-automacao,Engenharia de Controle e Automação,2023-07-28 10:16:13.908560
engenharia-de-minas,Engenharia de Minas,2023-07-28 10:16:13.908560
engenharia-de-producao-jm,Engenharia de Produção (JM),2023-07-28 10:16:13.908560
engenharia-de-producao-op,Engenharia de Produção (OP),2023-07-28 10:16:13.908560
engenharia-eletrica,Engenharia Elétrica,2023-07-28 10:16:13.908560
engenharia-geologica,Engenharia Geológica,2023-07-28 10:16:13.908560
engenharia-mecanica,Engenharia Mecânica,2023-07-28 10:16:13.908560
engenharia-metalurgica,Engenharia Metalúrgica,2023-07-28 10:16:13.908560
engenharia-urbana,Engenharia Urbana,2023-07-28 10:16:13.908560
estatistica,Estatística,2023-07-28 10:16:13.908560
farmacia,Farmácia,2023-07-28 10:16:13.908560
filosofia-bacharelado,Filosofia (Bacharelado),2023-07-28 10:16:13.908560
filosofia-licenciatura,Filosofia (Licenciatura),2023-07-28 10:16:13.908560
fisica-bacharelado,Física (Bacharelado),2023-07-28 10:16:13.908560
fisica-licenciatura,Física (Licenciatura),2023-07-28 10:16:13.908560
geografia-ead,Geografia (EaD),2023-07-28 10:16:13.908560
historia-bacharelado,História (Bacharelado),2023-07-28 10:16:13.908560
historia-licenciatura,História (Licenciatura),2023-07-28 10:16:13.908560
jornalismo,Jornalismo,2023-07-28 10:16:13.908560
letras-bacharelado,Letras (Bacharelado),2023-07-28 10:16:13.908560
letras-licenciatura,Letras (Licenciatura),2023-07-28 10:16:13.908560
matematica-bacharelado,Matemática (Bacharelado),2023-07-28 10:16:13.908560
matematica-ead,Matemática (EaD),2023-07-28 10:16:13.908560
matematica-licenciatura,Matemática (Licenciatura),2023-07-28 10:16:13.908560
medicina,Medicina,2023-07-28 10:16:13.908560
museologia,Museologia,2023-07-28 10:16:13.908560
musica,Música,2023-07-28 10:16:13.908560
nutricao,Nutrição,2023-07-28 10:16:13.908560
pedagogia,Pedagogia,2023-07-28 10:16:13.908560
pedagogia-ead,Pedagogia (EaD),2023-07-28 10:16:13.908560
quimica,Química,2023-07-28 10:16:13.908560
quimica-industrial,Química Industrial,2023-07-28 10:16:13.908560
servico-social,Serviço Social,2023-07-28 10:16:13.908560
sistemas-de-informacao,Sistemas de Informação,2023-07-28 10:16:13.908560
turismo,Turismo,2023-07-28 10:16:13.908560
