id,name,created_at
DEACL,DEPARTAMENTO DE ANALISES CLINICAS,2023-07-28 10:16:37.487088
DEALI,DEPARTAMENTO DE ALIMENTOS,2023-07-28 10:16:37.487088
DEAMB,DEPARTAMENTO DE ENGENHARIA AMBIENTAL,2023-07-28 10:16:37.487088
DEARQ,DEPARTAMENTO DE ARQUITETURA E URBANISMO,2023-07-28 10:16:37.487088
DEART,DEPARTAMENTO DE ARTES,2023-07-28 10:16:37.487088
DEBIO,"DEPARTAMENTO DE BIODIVERSIDADE, EVOLUCAO E MEIO AMBIENTE",2023-07-28 10:16:37.487088
DECAD,DEPARTAMENTO DE CIENCIAS ADMINISTRATIVAS,2023-07-28 10:16:37.487088
DECAT,DEPARTAMENTO DE ENGENHARIA DE CONTROLE E AUTOMACAO E TECNICAS FUNDAMENTAIS,2023-07-28 10:16:37.487088
DECBI,DEPARTAMENTO DE CIENCIAS BIOLOGICAS,2023-07-28 10:16:37.487088
DECEA,DEPARTAMENTO DE CIENCIAS EXATAS E APLICADAS -J.MONLEVADE,2023-07-28 10:16:37.487088
DECGP,"DEPARTAMENTO DE CIRURGIA, GINECOLOGIA E OBSTETRICIA",2023-07-28 10:16:37.487088
DECIV,DEPARTAMENTO DE ENGENHARIA CIVIL,2023-07-28 10:16:37.487088
DECOM,DEPARTAMENTO DE COMPUTACAO,2023-07-28 10:16:37.487088
DECPA,DEPARTAMENTO DE CLINICAS PEDIATRICAS E DO ADULTO,2023-07-28 10:16:37.487088
DECSI,DEPARTAMENTO DE COMPUTACAO E SISTEMAS,2023-07-28 10:16:37.487088
DECSO,DEPARTAMENTO DE CIENCIAS SOCIAIS,2023-07-28 10:16:37.487088
DEDIR,DEPARTAMENTO DE DIREITO,2023-07-28 10:16:37.487088
DEECO,DEPARTAMENTO DE CIENCIAS ECONOMICAS,2023-07-28 10:16:37.487088
DEEDU,DEPARTAMENTO DE EDUCACAO,2023-07-28 10:16:37.487088
DEEFD,DEPARTAMENTO DE EDUCACAO FISICA,2023-07-28 10:16:37.487088
DEELT,DEPARTAMENTO DE ENGENHARIA ELETRICA,2023-07-28 10:16:37.487088
DEEMA,DEPARTAMENTO DE EDUCACAO MATEMATICA,2023-07-28 10:16:37.487088
DEENP,DEPARTAMENTO DE ENGENHARIA DE PRODUCAO - ICEA,2023-07-28 10:16:37.487088
DEEST,DEPARTAMENTO DE ESTATISTICA,2023-07-28 10:16:37.487088
DEETE,DEPARTAMENTO DE EDUCACAO E TECNOLOGIAS,2023-07-28 10:16:37.487088
DEFAR,DEPARTAMENTO DE FARMACIA,2023-07-28 10:16:37.487088
DEFIL,DEPARTAMENTO DE FILOSOFIA,2023-07-28 10:16:37.487088
DEFIS,DEPARTAMENTO DE FISICA,2023-07-28 10:16:37.487088
DEGEO,DEPARTAMENTO DE GEOLOGIA,2023-07-28 10:16:37.487088
DEGEP,DEPARTAMENTO DE GESTAO PUBLICA,2023-07-28 10:16:37.487088
DEHIS,DEPARTAMENTO DE HISTORIA,2023-07-28 10:16:37.487088
DEJOR,DEPARTAMENTO DE JORNALISMO,2023-07-28 10:16:37.487088
DELET,DEPARTAMENTO DE LETRAS,2023-07-28 10:16:37.487088
DEMAT,DEPARTAMENTO DE MATEMATICA,2023-07-28 10:16:37.487088
DEMEC,DEPARTAMENTO DE ENGENHARIA MECANICA,2023-07-28 10:16:37.487088
DEMET,DEPARTAMENTO DE ENGENHARIA METALURGICA E DE MATERIAIS,2023-07-28 10:16:37.487088
DEMIF,DEPARTAMENTO DE ALOCACAO DE MIF,2023-07-28 10:16:37.487088
DEMIN,DEPARTAMENTO DE ENGENHARIA DE MINAS,2023-07-28 10:16:37.487088
DEMSC,"DEPARTAMENTO DE MEDICINA DE FAMILIA, SAUDE MENTAL E COLETIVA",2023-07-28 10:16:37.487088
DEMUL,DEPARTAMENTO DE MUSEOLOGIA,2023-07-28 10:16:37.487088
DEMUS,DEPARTAMENTO DE MUSICA,2023-07-28 10:16:37.487088
DENCS,DEPARTAMENTO DE NUTRICAO CLINICA E SOCIAL,2023-07-28 10:16:37.487088
DEPRO,DEPARTAMENTO DE ENGENHARIA DE PRODUCAO,2023-07-28 10:16:37.487088
DEQUI,DEPARTAMENTO DE QUIMICA,2023-07-28 10:16:37.487088
DESSO,DEPARTAMENTO DE SERVICO SOCIAL,2023-07-28 10:16:37.487088
DETUR,DEPARTAMENTO DE TURISMO,2023-07-28 10:16:37.487088
DEURB,DEPARTAMENTO DE ENGENHARIA URBANA,2023-07-28 10:16:37.487088
