id,discipline_class_id,day_of_week,start_time,end_time,class_type,created_at
3855e107-7cf5-42c5-927e-52ccf966908f,90c70c94-e97f-4d73-87ec-0ff29825d113,SEX,15:20,17:00,T,2023-07-28 10:16:48.684195
a4d9c5ab-be2c-4481-b400-f39dc8e08d0c,fec24b55-a3e8-479f-9b11-1fc43fc3e754,SEX,19:00,20:40,T,2023-07-28 10:16:48.684195
f77300b1-b08f-4bc7-8dbe-6b83b9bc922f,bae546df-8de2-4bce-87cd-221f61aef4bf,SEX,15:20,17:00,T,2023-07-28 10:16:48.684195
b903d5af-d9bc-4258-a8ce-f4d78089d091,6106d753-7542-468d-ac58-cfe5a0e710ea,SEX,13:30,15:10,P,2023-07-28 10:16:48.684195
281e19e6-2359-40ff-850a-c41395c68549,6b189339-f706-4bf6-881b-6af7e7c5c02f,SEX,13:30,15:10,P,2023-07-28 10:16:48.684195
9900f478-0ca6-4fe1-ae18-f2b72b6bd566,de163bed-a0e7-4b82-9b42-66356345b1d9,QUA,21:00,22:40,P,2023-07-28 10:16:48.684195
7e197a4d-1694-49f8-aa88-e79a9e396d0e,4b8bd388-585c-4da6-a64d-d5d051487dcb,QUA,21:00,22:40,P,2023-07-28 10:16:48.684195
2c39e6ab-351d-4b47-99f6-37934a21b3fe,e49e2fe3-b247-4f7d-beb5-54594f5a788a,QUA,13:30,15:10,P,2023-07-28 10:16:48.684195
dfd4ec43-f176-4bed-b177-a6ec5b582842,120b4564-3ccb-48f2-8b60-102d4a2386c6,QUA,13:30,15:10,P,2023-07-28 10:16:48.684195
0e649671-c505-4038-80bd-e709f46c81dc,0df3ddfe-03aa-4915-8727-60181f8cd12b,TER,13:30,15:10,T,2023-07-28 10:16:48.684195
bd7812ac-9861-442b-8202-d04e4c2491d8,0df3ddfe-03aa-4915-8727-60181f8cd12b,QUI,15:20,17:00,T,2023-07-28 10:16:48.684195
9e5e685d-d6fc-4aac-b866-ff8d831f935a,b38d675c-c0fe-48e0-9460-c19639aa62d5,TER,19:00,20:40,T,2023-07-28 10:16:48.684195
9ac4cbcb-3338-4710-bd24-4616d017885d,b38d675c-c0fe-48e0-9460-c19639aa62d5,SEX,21:00,22:40,T,2023-07-28 10:16:48.684195
9ed2b9f1-36e2-41f8-a958-c8180266d660,65afdf2d-b5c3-46b9-a558-f66204485b31,SEG,15:20,17:00,T,2023-07-28 10:16:48.684195
ae23366c-97b7-42d4-9baa-17b80e603ef5,65afdf2d-b5c3-46b9-a558-f66204485b31,QUI,13:30,15:10,T,2023-07-28 10:16:48.684195
ad779304-0f0f-4b8d-927f-521953ddd823,30612a99-69d0-49ef-b260-fae4610e0a0a,SEG,13:30,15:10,T,2023-07-28 10:16:48.684195
1b41a947-e67a-4f2e-85c9-1a0eb8039e0f,30612a99-69d0-49ef-b260-fae4610e0a0a,QUA,15:20,17:00,T,2023-07-28 10:16:48.684195
3fd8b5e3-3539-4ab3-989a-dff2697358a0,0b0b5a61-47be-4834-8678-806a358cff73,SEG,19:00,20:40,T,2023-07-28 10:16:48.684195
06aeadb9-9c21-4a9d-ad4d-f8b5a0985e49,0b0b5a61-47be-4834-8678-806a358cff73,QUI,21:00,22:40,T,2023-07-28 10:16:48.684195
fba172e1-f33d-4178-b81a-b05a02be76a8,3d1b1d5d-be70-4591-9fac-70b626a34a10,TER,15:20,17:00,T,2023-07-28 10:16:48.684195
06696fc2-7811-452c-97b1-c0801db90cf4,3d1b1d5d-be70-4591-9fac-70b626a34a10,SEX,13:30,15:10,T,2023-07-28 10:16:48.684195
6b7dbd40-c3cd-4f87-8d70-7e28d88ca1cf,6024e7f2-a363-4def-9910-cb02368583ed,TER,21:00,22:40,T,2023-07-28 10:16:48.684195
c4012837-e8e7-4354-8d79-6c10ec2eb419,6024e7f2-a363-4def-9910-cb02368583ed,QUI,19:00,20:40,T,2023-07-28 10:16:48.684195
b486882e-864d-4c64-aa19-64647b085dec,9191619e-b647-47eb-b3e7-6bd04b8b0064,TER,13:30,15:10,T,2023-07-28 10:16:48.684195
2b9c6121-1c96-4cee-8ed8-63d3fda447aa,9191619e-b647-47eb-b3e7-6bd04b8b0064,SEX,15:20,17:00,T,2023-07-28 10:16:48.684195
7ff156fe-a47b-484e-806a-63750b00d190,978bfa87-0865-4966-ad05-256fd6777ed1,TER,19:00,20:40,T,2023-07-28 10:16:48.684195
4cc452a1-454b-47bf-bb08-1d75fb785695,978bfa87-0865-4966-ad05-256fd6777ed1,QUI,21:00,22:40,T,2023-07-28 10:16:48.684195
d9f3e4ab-6a37-4cff-b297-c7634690372c,25b7e108-e4d5-4314-9c63-fb2467779235,SEG,13:30,15:10,T,2023-07-28 10:16:48.684195
5b036fac-326f-46ee-9572-8844e619983a,25b7e108-e4d5-4314-9c63-fb2467779235,QUI,15:20,17:00,T,2023-07-28 10:16:48.684195
3dfd8e16-417d-456a-9147-eddc3236e199,2cc640f1-c3ca-48d7-b2ad-507a077074ea,SEG,21:00,22:40,T,2023-07-28 10:16:48.684195
91336e60-d6e9-458c-a932-8998e37b965c,2cc640f1-c3ca-48d7-b2ad-507a077074ea,QUI,21:00,22:40,T,2023-07-28 10:16:48.684195
486cf114-e138-4f68-84e7-f7032a3702bf,0163f1fd-bdbc-4c39-a03c-ea63b69843d4,TER,15:20,17:00,T,2023-07-28 10:16:48.684195
34c80832-58e9-49dd-b7d9-c27808c6fb38,0163f1fd-bdbc-4c39-a03c-ea63b69843d4,SEX,15:20,17:00,T,2023-07-28 10:16:48.684195
151b08b8-2aa7-40be-96b3-8c57223fe9e1,cb35a539-09bb-4938-bc9c-ae078eae846a,TER,13:30,15:10,T,2023-07-28 10:16:48.684195
d22c39e0-3f1c-49bb-a9aa-93fa11d7e608,cb35a539-09bb-4938-bc9c-ae078eae846a,SEX,13:30,15:10,T,2023-07-28 10:16:48.684195
922530f4-e025-4e6e-9739-f2829f08a521,90dac289-0cd7-4c44-ae75-9cac99ab955b,SEG,19:00,20:40,T,2023-07-28 10:16:48.684195
c4338d1a-28c1-4993-87ea-0e6ec41eed4a,90dac289-0cd7-4c44-ae75-9cac99ab955b,QUI,21:00,22:40,T,2023-07-28 10:16:48.684195
3acd43ed-0c3a-496c-92db-7d537ef9a26d,f984e7c2-2e4a-45d2-85eb-cb0ca4deefe0,TER,19:00,20:40,T,2023-07-28 10:16:48.684195
7536bd21-4899-4142-b089-bbf3b23122b0,f984e7c2-2e4a-45d2-85eb-cb0ca4deefe0,QUI,21:00,22:40,T,2023-07-28 10:16:48.684195
f518bfd1-7801-4faf-a27f-c367e89fbfd1,2f990f36-79c2-4960-80c2-f179c07d428f,QUA,15:20,17:00,T,2023-07-28 10:16:48.684195
af618a58-b2b5-4e82-ab90-7afe6eaed0b8,2f990f36-79c2-4960-80c2-f179c07d428f,SEX,13:30,15:10,T,2023-07-28 10:16:48.684195
a7c1cd42-b76c-4e4a-87fd-45a60d082476,8f003a29-900a-42a2-99f0-52de7f40cb17,TER,21:00,22:40,T,2023-07-28 10:16:48.684195
2d2e9583-b0f5-402f-a7a7-46c06d91e4de,8f003a29-900a-42a2-99f0-52de7f40cb17,SEX,19:00,20:40,T,2023-07-28 10:16:48.684195
387d3c30-d4bd-4d86-bb98-9fe39263babb,6d9fd026-cbfc-4192-96c4-730c3ae80adf,SEG,15:20,17:00,T,2023-07-28 10:16:48.684195
