id,discipline_id,period,prerequisites,mandatory,course_id
18c7b9be-0b4f-44e2-9c0e-fecd9698296e,CEA038,1,,True,engenharia-de-computacao
88f6a10d-6b44-4fa3-8d97-62bd7c91a0f8,CEA039,1,,True,engenharia-de-computacao
e544e7b6-29b8-48fa-9875-6378b41465d8,CEA049,1,,True,engenharia-de-computacao
0e86153a-e404-4cf7-895f-7bf6d7ded4e2,CEA050,1,,True,engenharia-de-computacao
fd2dccbf-81b0-4af2-abb5-a6a835784ba2,CSI030,1,,True,engenharia-de-computacao
8b52bd20-9fe4-4c1f-a37d-e8f617b6d3f7,CSI201,1,,True,engenharia-de-computacao
280ccc4f-88d9-4167-8bd1-878864c6887a,CSI427,1,,True,engenharia-de-computacao
c3039a9c-e8f9-4be5-9819-8fba291ddc19,CEA051,2,CEA049 CEA050,True,engenharia-de-computacao
cf696f70-6645-4d3c-b9b2-5f83346576a1,CEA055,2,CEA050,True,engenharia-de-computacao
0d3c4f9d-7266-48dd-adba-565d028e3571,CEA061,2,CEA049 CEA050,True,engenharia-de-computacao
36104ac0-a693-41fa-8976-5c44545cbd65,CSI032,2,CSI030,True,engenharia-de-computacao
d87a5543-0b5d-4b4c-ad90-d57931ab3fd2,CSI443,2,,True,engenharia-de-computacao
129c4d5e-e955-4911-a9b5-30aaacf0cf25,CEA052,3,CEA051,True,engenharia-de-computacao
5e58ecb6-1160-4792-a89f-2a7716326e3d,CEA056,3,CEA051,True,engenharia-de-computacao
1faa3fcd-8157-4947-9f10-9904cad7c427 696e4fdf-1a6f-4100-9655-0fda793d9b59,CEA062,3,CEA038 CEA039 CEA051 CEA061,True,engenharia-de-computacao
30cdb810-2c20-4444-8f13-829fcf5054b3,CEA341,3,CSI030,True,engenharia-de-computacao
543a274b-20ef-4671-ade5-a8e639a6671c,CSI488,3,CSI030,True,engenharia-de-computacao
1ac33137-f2b2-44d2-bd85-cc743c41321a 3ca00304-2371-44fc-9b3f-6941adc0deef,CEA063,4,CEA038 CEA039 CEA051 CEA055 CEA061,True,engenharia-de-computacao
580d1675-8c83-4ab0-b48b-693ddf72ae7e,CEA552,4,CEA056 CEA062,True,engenharia-de-computacao
f893b085-8b00-4589-bc59-9fb276f06438,CEA562,4,CEA056,True,engenharia-de-computacao
db7d8988-b761-4779-9c3a-9009a7ff61e6,CSI429,4,CSI032 CSI488,True,engenharia-de-computacao
fd839268-e303-447c-a54b-87a6115515d3,CSI466,4,CSI443 CSI488,True,engenharia-de-computacao
bd3b723d-416c-4cb6-b05b-7f9d0484f9a6 4606fc9b-e51a-48d3-8075-885c871b35d5,CEA064,5,CEA052 CEA056 CEA062 CEA063,True,engenharia-de-computacao
f3eb5b39-90e9-4579-a729-c7a605d7b547,CEA502,5,CEA052 CEA063 CEA552,True,engenharia-de-computacao
271222d2-92d0-403b-abb2-bbb2e4919cb2,CSI148,5,CEA056 CSI030,True,engenharia-de-computacao
5807427f-21f5-42be-80e6-8bb862715dfc,CSI203,5,CEA341 CSI030,True,engenharia-de-computacao
6b1bc137-e753-4c83-9ce4-43c865d4bae8,CSI485,5,CSI032 CSI488,True,engenharia-de-computacao
ca6ac882-164c-49cb-950f-a1099fb272ad,CEA561,6,CEA552,True,engenharia-de-computacao
be9dc299-972d-45ee-8632-8d0904b34993,CEA582,6,CEA562,True,engenharia-de-computacao
66ee3dd3-75e4-46e2-bb12-a146d705ca4e,CSI440,6,CSI488,True,engenharia-de-computacao
a2068059-4f10-4e61-9aa4-da6becbda22e,CSI509,6,CSI203,True,engenharia-de-computacao
4d18875f-5798-4b3f-bd14-59078931a127,CSI546,6,CSI466,True,engenharia-de-computacao
e8b6b969-df0d-4326-8acb-f68c250364b2,CEA551,7,CEA064 CEA552 CSI148,True,engenharia-de-computacao
ec458c11-975d-49e3-88a9-bc57ac8385d5,CEA580,7,CSI203,True,engenharia-de-computacao
48231cc8-7251-4d48-b789-39ef17ed5c9b,CSI437,7,CSI203 CSI488,True,engenharia-de-computacao
6145a332-3eb3-435a-b10b-afd70c0cd5a0,CSI476,7,CSI466,True,engenharia-de-computacao
c230f817-ceb3-49b7-850b-e0d71e7b2602,CSI508,7,CSI488,True,engenharia-de-computacao
3068d64b-3a31-4969-bbb5-d9e8c9bea7c5,CSI419,8,CSI476,True,engenharia-de-computacao
30458542-e247-4481-9798-c3bb012ed7b1,CSI450,8,CSI485,True,engenharia-de-computacao
6e73fbde-4d85-4693-853e-171f734fafb7,CSI457,8,CSI466,True,engenharia-de-computacao
819688d3-a37d-439c-905d-37d9f2d7bbc5,CSI548,8,CSI488,True,engenharia-de-computacao
b52053ab-b7ec-483e-98d2-2427ae70c861,CSI433,9,CSI548,True,engenharia-de-computacao
03baa418-f856-46f4-a5a1-b9c42b02f5f5,CSI495,9,,True,engenharia-de-computacao
48530020-b83b-4483-9f3e-e8dac657ea1a,CSI506,9,CSI476,True,engenharia-de-computacao
89a5ab47-400c-49e4-bcdc-af4868aa1d5a,CSI510,9,CSI548,True,engenharia-de-computacao
4ab136ce-f73e-4294-9401-64f918d13cd4 f5018ab2-501e-46ae-94a6-155bcc6f8835,CEA066,10,CEA038 CEA039 CEA062 CEA063,True,engenharia-de-computacao
7b8b6dd2-cd41-4550-8258-9c5bc3998214,CSI491,10,,True,engenharia-de-computacao
23e66502-57d8-4d55-9ef1-15f7091ae3d3,CSI496,10,CSI495,True,engenharia-de-computacao
f917f351-c4de-4ba2-ae24-c0e69623f586,CSI693,10,CSI433,True,engenharia-de-computacao
45c4b6d0-5c8d-40c7-b6aa-6b4dcc77878a,CEA026,,,False,engenharia-de-computacao
7413cd54-53b6-4e9a-a16f-2200115813aa 3759ad55-ace4-4f5c-a410-8bd740e92921,CEA057,,CEA052 CEA056,False,engenharia-de-computacao
4d3d3ec5-ba8a-4887-a54c-9ca69d4d9baf,CEA147,,CEA580,False,engenharia-de-computacao
3893c74e-6ba4-4762-804e-129efb631c23,CEA563,,CEA552,False,engenharia-de-computacao
d6978374-57d9-4aa5-aa61-5fd16278c06f,CEA570,,CEA562,False,engenharia-de-computacao
585da71b-4181-4afa-8e06-a785dba4d9ed,CEA571,,CEA551 CEA561,False,engenharia-de-computacao
a5b0ad71-f344-43ca-baa8-3def0c03dc89,CEA572,,CEA561 CEA570,False,engenharia-de-computacao
bd685c10-2a4e-4df7-b770-66dcbac94eda,CEA671,,CEA562,False,engenharia-de-computacao
8f86a174-9527-4376-af12-71f6ae7c29c3 196ed405-0497-40ec-be6f-15c683415618,CEA710,,,False,engenharia-de-computacao
e65dd4cd-7fa0-4bd0-9d2e-a76e05e42135,CEA712,,CEA562,False,engenharia-de-computacao
0ba56077-1f3f-449a-a4fe-b7245001754f,ENP151,,,False,engenharia-de-computacao
100259da-4cc9-45a7-8bd2-3844fbfc4286,ENP152,,,False,engenharia-de-computacao
edc711b8-ccb2-4fba-a17a-173706a672e4,ENP153,,CSI030 CSI488,False,engenharia-de-computacao
269624cb-c678-4eef-9cdd-89b8989c91b7,ENP160,,ENP153,False,engenharia-de-computacao
a55912e5-8e2c-4412-8d20-45890c3b8d9a,ENP493,,,False,engenharia-de-computacao
60900ecc-d472-46d2-a15f-fc9e3de0da34 b88fb63a-94ed-44ec-bc1e-9ea9cbdc9bc7,CEA710,,,False,engenharia-de-computacao
991004ec-5a3e-4991-92b3-d0ebbc5783a0,CEA712,,CEA562,False,engenharia-de-computacao
bbf7d5d9-98cf-452e-9d25-584ac98a6857,CEA038,1,,True,engenharia-de-producao-jm
f97298e8-4d1d-49ea-8b1c-de5810abb5fd,CEA039,1,,True,engenharia-de-producao-jm
e5102f11-3af1-4b52-92c0-cd5ba38f7fc5,CEA049,1,,True,engenharia-de-producao-jm
